time,cuts,graph,vertices,edges
495.403952247,6386,er_100_160_0.csv,160,12720
250.08358234900004,2709,er_70_120_1.csv,120,5028
248.456566383,3347,er_90_120_1.csv,120,6431
3604.5597023640003,8352,er_80_200_3.csv,200,15946
1095.0350345380002,5378,er_80_160_1.csv,160,10223
293.6683684609998,2367,er_60_120_0.csv,120,4305
35.09407939100038,1054,er_60_80_2.csv,80,1894
38.538729517999855,1202,er_70_80_1.csv,80,2190
35.19997570799933,1360,er_80_80_2.csv,80,2526
3547.5235733130003,7425,er_70_200_3.csv,200,14017
274.3117549130002,2989,er_80_120_2.csv,120,5629
2.2581842280014826,348,er_80_40_0.csv,40,624
1199.167510157,4131,er_60_160_3.csv,160,7612
262.34954688700054,2702,er_70_120_3.csv,120,5016
234.9757794069992,2705,er_70_120_0.csv,120,5019
2.968871847999253,347,er_80_40_1.csv,40,622
285.8152123539985,3348,er_90_120_3.csv,120,6418
257.72367754100014,3375,er_90_120_0.csv,120,6481
1101.440563655,4138,er_60_160_2.csv,160,7639
1099.1313857500008,5342,er_80_160_3.csv,160,10139
1096.3205570480004,4774,er_70_160_1.csv,160,8956
38.57116006000069,1492,er_90_80_1.csv,80,2828
45.82225038300021,1494,er_90_80_0.csv,80,2819
1101.8651888849981,4147,er_60_160_1.csv,160,7665
17.091828202002944,1593,er_100_80_0.csv,80,3160
2.2687263730003906,377,er_90_40_0.csv,40,700
41.76359425700139,1508,er_90_80_2.csv,80,2867
3877.3585872910007,6449,er_60_200_2.csv,200,11996
3226.923786470001,9255,er_90_200_0.csv,200,17930
41.69075033400077,1510,er_90_80_3.csv,80,2859
236.89919197500058,2668,er_70_120_2.csv,120,4941
3873.432735126,9240,er_90_200_2.csv,200,17907
251.36358351400122,3366,er_90_120_2.csv,120,6468
3552.3757796229984,8310,er_80_200_1.csv,200,15885
38.51755464099915,1216,er_70_80_2.csv,80,2223
2.279489475000446,271,er_60_40_3.csv,40,469
1614.1534272069985,9982,er_100_200_3.csv,200,19900
2.5426570670024375,383,er_90_40_2.csv,40,707
484.2631800050003,6383,er_100_160_3.csv,160,12720
2.46334928899887,312,er_70_40_3.csv,40,545
2.2391412110009696,349,er_80_40_3.csv,40,631
1071.4377762629956,5934,er_90_160_0.csv,160,11445
17.133053931000177,1593,er_100_80_1.csv,80,3160
2.344789350994688,304,er_70_40_2.csv,40,533
1174.2020832569979,4752,er_70_160_3.csv,160,8892
3546.7322615640005,8355,er_80_200_0.csv,200,15969
1607.9991969640032,9979,er_100_200_1.csv,200,19900
2.705237048001436,278,er_60_40_0.csv,40,476
265.5592562160018,3051,er_80_120_0.csv,120,5751
266.3618250779982,2350,er_60_120_2.csv,120,4286
2.494595615004073,277,er_60_40_1.csv,40,464
3535.2182362460007,9237,er_90_200_1.csv,200,17884
1.13681516500219,397,er_100_40_3.csv,40,780
1206.3750937420045,5928,er_90_160_3.csv,160,11435
3217.879197260001,6434,er_60_200_0.csv,200,11991
2.262712424999336,382,er_90_40_1.csv,40,711
295.38732121200155,3024,er_80_120_3.csv,120,5704
16.719479904000764,1593,er_100_80_2.csv,80,3160
121.26613797299797,3587,er_100_120_3.csv,120,7140
16.87229434600158,1593,er_100_80_3.csv,80,3160
121.35671156700118,3589,er_100_120_2.csv,120,7140
2.531877732006251,266,er_60_40_2.csv,40,451
33.971112783001445,1076,er_60_80_3.csv,80,1929
1605.1887786809966,9980,er_100_200_2.csv,200,19900
38.820834170001035,1356,er_80_80_1.csv,80,2512
269.2018005450009,2331,er_60_120_3.csv,120,4247
1.1068923080019886,396,er_100_40_2.csv,40,780
3862.826174709997,7350,er_70_200_2.csv,200,13853
3532.686039799002,6427,er_60_200_3.csv,200,11944
2.2850115749970428,295,er_70_40_1.csv,40,512
2.505082408999442,343,er_80_40_2.csv,40,618
1092.8282557000057,5938,er_90_160_1.csv,160,11475
2.519791193997662,320,er_70_40_0.csv,40,560
1607.1625145590006,9980,er_100_200_0.csv,200,19900
3850.6714567719973,6444,er_60_200_1.csv,200,12000
1096.668553319003,4722,er_70_160_2.csv,160,8842
1.1139498179982184,396,er_100_40_0.csv,40,780
37.19106981799996,1208,er_70_80_0.csv,80,2176
3531.0362244790012,7419,er_70_200_1.csv,200,13972
498.5623795980064,6387,er_100_160_2.csv,160,12720
37.130690446007065,1373,er_80_80_0.csv,80,2545
3534.594945670993,7389,er_70_200_0.csv,200,13911
3532.306841873011,9277,er_90_200_3.csv,200,17979
1198.658362236005,5341,er_80_160_2.csv,160,10144
270.63709874900815,2359,er_60_120_1.csv,120,4292
3536.395776275007,8330,er_80_200_2.csv,200,15901
495.1578793899971,6384,er_100_160_1.csv,160,12720
1.0895632570027374,397,er_100_40_1.csv,40,780
33.94066258700332,1216,er_70_80_3.csv,80,2223
112.25998529999924,3589,er_100_120_1.csv,120,7140
33.94850433700776,1065,er_60_80_0.csv,80,1910
112.36068645700288,3590,er_100_120_0.csv,120,7140
2.4691444060008507,382,er_90_40_3.csv,40,707
1087.7276153560088,4144,er_60_160_0.csv,160,7652
1086.706863917003,5334,er_80_160_0.csv,160,10139
37.22232168499613,1356,er_80_80_3.csv,80,2522
33.994080856995424,1057,er_60_80_1.csv,80,1886
990.8541414320061,4757,er_70_160_0.csv,160,8925
271.83279468100227,3022,er_80_120_1.csv,120,5693
1082.6822327690024,5923,er_90_160_2.csv,160,11420
