,mc_de_rand_one,mc_de_best_two,mc_de_rand_onemc_de_best_two
0,1352,1336,1349
1,1340,1340,1324
2,1355,1341,1331
3,1346,1348,1353
4,1350,1328,1350
5,1343,1358,1345
6,1334,1343,1356
7,1359,1359,1350
8,1342,1332,1358
9,1364,1351,1333
10,1346,1342,1357
11,1347,1331,1341
12,1353,1327,1338
13,1358,1339,1332
14,1359,1329,1336
15,1355,1360,1345
16,1354,1345,1353
17,1338,1330,1349
18,1354,1339,1336
19,1366,1330,1355
