,mc_de_rand_one,mc_de_best_two,mc_de_rand_onemc_de_best_two
0,1353,1337,1338
1,1346,1341,1328
2,1322,1334,1342
3,1327,1323,1328
4,1335,1362,1337
5,1332,1337,1333
6,1323,1333,1339
7,1322,1343,1348
8,1329,1336,1328
9,1330,1337,1334
10,1331,1348,1349
11,1326,1336,1348
12,1349,1342,1350
13,1328,1315,1319
14,1344,1314,1328
15,1341,1346,1329
16,1354,1336,1331
17,1348,1340,1345
18,1338,1338,1342
19,1344,1342,1332
