,parameters,median best,best list,median history,median pop history
0,"[50, 100, 0.2, 0.6]",8169.0,"[8166, 8169, 8185]","[8055, 8081, 8084, 8093, 8093, 8106, 8106, 8113, 8113, 8122, 8122, 8122, 8122, 8140, 8141, 8147, 8147, 8147, 8156, 8156, 8161, 8161, 8161, 8161, 8162, 8162, 8162, 8162, 8162, 8162, 8162, 8162, 8162, 8162, 8162, 8162, 8162, 8162, 8162, 8162, 8162, 8162, 8165, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8169, 8169, 8169, 8169, 8169, 8169, 8169, 8169, 8169, 8169, 8169, 8169, 8169, 8169, 8169, 8169, 8169, 8169]","[7993.5, 8012.5, 8022.0, 8035.5, 8045.0, 8055.0, 8061.0, 8071.5, 8075.0, 8078.5, 8084.5, 8087.0, 8094.5, 8100.0, 8104.0, 8115.5, 8117.0, 8120.5, 8122.5, 8126.0, 8133.5, 8138.0, 8140.5, 8142.5, 8145.0, 8147.5, 8149.0, 8151.5, 8153.0, 8155.0, 8159.0, 8160.0, 8160.0, 8160.0, 8160.0, 8161.0, 8161.0, 8161.0, 8161.0, 8161.0, 8161.0, 8161.0, 8161.0, 8161.0, 8161.0, 8161.0, 8161.0, 8161.0, 8161.0, 8161.0, 8161.5, 8162.0, 8162.0, 8165.0, 8165.0, 8165.0, 8165.0, 8165.0, 8165.0, 8166.0, 8166.0, 8166.0, 8166.0, 8166.0, 8166.0, 8167.0, 8168.0, 8168.0, 8168.0, 8168.0, 8168.0, 8168.0, 8168.0, 8168.0, 8168.0, 8168.0, 8168.0, 8168.0, 8168.0, 8168.0, 8168.0, 8168.0, 8168.0, 8168.0, 8168.0, 8168.0, 8168.0, 8168.0, 8168.0, 8168.0, 8168.0, 8168.0, 8168.0, 8168.0, 8168.0, 8168.0, 8168.0, 8168.0, 8168.0, 8168.0, 8168.0, 8168.0]"
1,"[50, 100, 0.2, 0.3]",8173.0,"[8167, 8173, 8176]","[8078, 8078, 8078, 8078, 8087, 8087, 8087, 8113, 8113, 8113, 8113, 8115, 8117, 8117, 8128, 8128, 8128, 8128, 8128, 8128, 8136, 8136, 8136, 8136, 8149, 8149, 8149, 8149, 8149, 8149, 8149, 8149, 8149, 8153, 8153, 8153, 8153, 8160, 8160, 8161, 8161, 8161, 8162, 8162, 8164, 8164, 8165, 8165, 8166, 8166, 8166, 8167, 8167, 8167, 8167, 8167, 8167, 8167, 8168, 8168, 8168, 8168, 8170, 8170, 8170, 8170, 8170, 8170, 8170, 8173, 8173, 8173, 8173, 8173, 8173, 8173, 8173, 8173, 8173, 8173, 8173, 8173, 8173, 8173, 8173, 8173, 8173, 8173, 8173, 8173, 8173, 8173, 8173, 8173, 8173, 8173, 8173, 8173, 8173, 8173, 8173, 8173]","[7996.0, 8020.0, 8027.0, 8033.5, 8043.5, 8053.5, 8057.0, 8061.5, 8064.5, 8072.0, 8082.0, 8088.5, 8092.0, 8098.5, 8101.0, 8104.0, 8108.0, 8110.5, 8113.0, 8115.0, 8117.0, 8117.5, 8120.0, 8121.0, 8124.0, 8126.0, 8127.0, 8128.0, 8130.0, 8130.0, 8131.0, 8132.0, 8134.0, 8134.0, 8134.0, 8136.5, 8137.5, 8138.5, 8139.0, 8140.0, 8140.5, 8142.0, 8143.5, 8149.0, 8153.0, 8153.0, 8155.0, 8156.0, 8160.0, 8160.0, 8160.0, 8160.0, 8160.0, 8161.0, 8162.0, 8163.5, 8164.5, 8165.0, 8165.0, 8165.0, 8166.0, 8166.0, 8166.5, 8167.0, 8167.0, 8168.0, 8168.0, 8168.0, 8169.0, 8169.0, 8169.0, 8170.0, 8170.0, 8170.0, 8170.0, 8170.0, 8170.0, 8170.0, 8172.0, 8173.0, 8173.0, 8173.0, 8173.0, 8173.0, 8173.0, 8173.0, 8173.0, 8173.0, 8173.0, 8173.0, 8173.0, 8173.0, 8173.0, 8173.0, 8173.0, 8173.0, 8173.0, 8173.0, 8173.0, 8173.0, 8173.0, 8173.0]"
2,"[50, 100, 0.4, 0.6]",8168.0,"[8147, 8181, 8168]","[8053, 8053, 8078, 8078, 8078, 8078, 8110, 8110, 8110, 8129, 8129, 8129, 8129, 8129, 8129, 8129, 8129, 8143, 8143, 8143, 8152, 8152, 8152, 8152, 8152, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8158, 8158, 8158, 8158, 8158, 8158, 8158, 8158, 8158, 8158, 8158, 8158, 8158, 8158, 8161, 8161, 8161, 8161, 8167, 8167, 8167, 8167, 8167, 8167, 8167, 8167, 8167, 8167, 8167, 8167, 8167, 8167, 8167, 8167, 8167, 8167, 8167, 8167, 8167, 8167, 8167, 8167, 8167, 8167, 8167, 8167, 8167, 8167, 8167, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168, 8168]","[7993.0, 8008.5, 8021.5, 8025.0, 8029.5, 8039.5, 8049.5, 8054.0, 8056.0, 8061.5, 8067.0, 8069.0, 8075.0, 8079.0, 8079.5, 8088.0, 8093.0, 8099.0, 8104.0, 8106.5, 8108.5, 8109.0, 8113.5, 8115.0, 8123.5, 8127.0, 8131.5, 8134.0, 8135.0, 8136.0, 8136.5, 8137.5, 8140.0, 8140.5, 8141.0, 8143.0, 8143.0, 8144.0, 8146.0, 8147.5, 8147.5, 8148.0, 8148.5, 8149.0, 8149.5, 8150.0, 8150.0, 8150.5, 8151.0, 8152.0, 8152.5, 8153.0, 8154.0, 8154.5, 8155.0, 8155.5, 8156.0, 8156.0, 8156.0, 8157.0, 8157.0, 8158.0, 8158.0, 8158.0, 8158.0, 8158.0, 8158.0, 8158.5, 8159.0, 8159.0, 8159.0, 8160.0, 8160.0, 8161.5, 8163.0, 8163.0, 8163.0, 8164.0, 8164.0, 8164.0, 8164.0, 8164.0, 8164.0, 8164.0, 8164.0, 8164.0, 8164.0, 8165.0, 8165.5, 8166.0, 8166.0, 8166.0, 8166.0, 8166.0, 8166.0, 8166.0, 8166.0, 8166.0, 8166.0, 8166.0, 8166.0, 8166.0]"
3,"[50, 100, 0.4, 0.3]",8157.0,"[8157, 8167, 8148]","[8059, 8069, 8069, 8069, 8081, 8101, 8101, 8101, 8103, 8105, 8116, 8116, 8116, 8116, 8116, 8116, 8117, 8120, 8120, 8123, 8133, 8133, 8133, 8133, 8136, 8136, 8136, 8136, 8136, 8136, 8136, 8136, 8136, 8136, 8136, 8136, 8136, 8136, 8136, 8148, 8148, 8148, 8148, 8152, 8152, 8152, 8152, 8152, 8152, 8152, 8153, 8153, 8154, 8154, 8154, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157]","[7989.5, 8014.0, 8031.0, 8034.0, 8043.0, 8044.5, 8063.0, 8064.0, 8064.0, 8069.5, 8074.0, 8080.5, 8083.0, 8088.5, 8090.5, 8092.5, 8099.0, 8101.5, 8104.5, 8106.0, 8106.0, 8107.0, 8107.5, 8109.5, 8110.5, 8112.0, 8113.0, 8113.5, 8115.0, 8118.0, 8119.0, 8119.0, 8120.0, 8120.5, 8123.0, 8125.5, 8126.0, 8127.0, 8127.5, 8129.0, 8129.5, 8130.0, 8131.0, 8132.0, 8133.0, 8136.0, 8137.0, 8137.5, 8139.5, 8142.0, 8142.0, 8142.0, 8143.0, 8146.0, 8148.0, 8148.0, 8149.5, 8152.0, 8152.0, 8152.0, 8152.0, 8153.0, 8153.0, 8153.5, 8154.0, 8154.0, 8154.0, 8154.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0]"
4,"[50, 70, 0.2, 0.6]",8157.0,"[8129, 8167, 8157]","[8071, 8071, 8071, 8071, 8076, 8076, 8076, 8079, 8128, 8128, 8128, 8128, 8128, 8128, 8128, 8128, 8136, 8136, 8136, 8139, 8139, 8139, 8143, 8143, 8144, 8144, 8145, 8145, 8146, 8147, 8147, 8147, 8147, 8147, 8147, 8147, 8147, 8147, 8147, 8147, 8147, 8147, 8149, 8149, 8149, 8149, 8149, 8149, 8149, 8149, 8149, 8149, 8149, 8156, 8156, 8156, 8156, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157]","[7994.5, 8015.0, 8022.5, 8031.0, 8037.0, 8043.5, 8049.0, 8053.5, 8066.0, 8068.0, 8072.0, 8075.5, 8078.5, 8080.5, 8084.0, 8090.0, 8093.5, 8102.5, 8110.5, 8118.0, 8120.5, 8121.0, 8125.5, 8127.5, 8128.5, 8132.0, 8133.5, 8135.0, 8137.0, 8138.5, 8143.0, 8144.0, 8144.0, 8144.0, 8145.0, 8145.0, 8145.0, 8145.0, 8145.0, 8145.0, 8146.0, 8146.0, 8146.5, 8147.0, 8147.0, 8147.0, 8147.0, 8147.0, 8147.0, 8147.0, 8147.0, 8147.0, 8147.0, 8147.0, 8147.0, 8147.0, 8147.0, 8147.0, 8147.0, 8147.0, 8147.0, 8147.0, 8147.0, 8147.0, 8147.0, 8148.0, 8149.0, 8149.0, 8149.0, 8149.0, 8149.0, 8149.0]"
5,"[50, 70, 0.2, 0.3]",8157.0,"[8157, 8132, 8199]","[8067, 8077, 8077, 8077, 8094, 8094, 8094, 8094, 8125, 8125, 8125, 8125, 8125, 8133, 8133, 8133, 8133, 8141, 8141, 8146, 8150, 8150, 8150, 8152, 8153, 8153, 8156, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157, 8157]","[7994.0, 8013.0, 8025.0, 8031.0, 8040.5, 8043.0, 8052.5, 8059.0, 8067.0, 8071.5, 8076.0, 8083.0, 8086.0, 8093.0, 8097.0, 8105.0, 8106.5, 8108.5, 8114.0, 8116.5, 8127.0, 8130.0, 8133.5, 8139.0, 8141.5, 8144.0, 8147.0, 8147.0, 8150.0, 8152.0, 8152.5, 8153.0, 8155.0, 8156.0, 8156.0, 8156.0, 8156.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0, 8157.0]"
6,"[50, 70, 0.4, 0.6]",8154.0,"[8153, 8154, 8196]","[8075, 8075, 8075, 8075, 8081, 8105, 8105, 8105, 8105, 8105, 8108, 8108, 8108, 8108, 8126, 8126, 8126, 8126, 8126, 8126, 8132, 8132, 8138, 8138, 8138, 8138, 8138, 8138, 8138, 8138, 8138, 8138, 8138, 8138, 8138, 8145, 8145, 8145, 8145, 8147, 8147, 8149, 8149, 8149, 8149, 8149, 8151, 8151, 8151, 8151, 8151, 8151, 8151, 8151, 8152, 8152, 8152, 8152, 8152, 8153, 8153, 8153, 8153, 8153, 8153, 8153, 8153, 8153, 8153, 8154, 8154, 8154]","[7999.0, 8007.0, 8018.0, 8028.0, 8043.5, 8047.5, 8051.0, 8053.5, 8060.5, 8067.5, 8075.0, 8078.0, 8083.0, 8086.0, 8090.0, 8091.5, 8093.5, 8094.0, 8096.0, 8098.0, 8103.5, 8108.0, 8108.0, 8110.5, 8113.0, 8115.0, 8116.5, 8117.0, 8119.0, 8120.0, 8121.0, 8122.0, 8124.0, 8124.5, 8126.0, 8127.0, 8128.0, 8130.0, 8131.0, 8134.0, 8136.0, 8136.5, 8140.0, 8142.0, 8143.0, 8143.0, 8145.0, 8146.0, 8147.0, 8147.0, 8147.0, 8147.0, 8147.0, 8147.0, 8147.0, 8147.5, 8148.0, 8148.5, 8149.0, 8149.0, 8149.0, 8149.0, 8149.0, 8149.5, 8150.0, 8151.0, 8151.0, 8151.0, 8151.0, 8151.0, 8151.0, 8151.0]"
7,"[50, 70, 0.4, 0.3]",8137.0,"[8137, 8132, 8138]","[8064, 8074, 8074, 8086, 8086, 8086, 8093, 8093, 8110, 8110, 8110, 8110, 8120, 8120, 8120, 8120, 8124, 8126, 8126, 8126, 8126, 8126, 8126, 8126, 8129, 8129, 8129, 8129, 8130, 8130, 8130, 8130, 8130, 8132, 8132, 8132, 8136, 8136, 8136, 8136, 8136, 8136, 8136, 8136, 8136, 8136, 8137, 8137, 8137, 8137, 8137, 8137, 8137, 8137, 8137, 8137, 8137, 8137, 8137, 8137, 8137, 8137, 8137, 8137, 8137, 8137, 8137, 8137, 8137, 8137, 8137, 8137]","[7982.5, 8004.0, 8025.5, 8037.5, 8040.0, 8048.0, 8059.5, 8067.5, 8073.0, 8073.0, 8079.0, 8084.5, 8088.0, 8092.0, 8098.0, 8102.0, 8106.5, 8110.0, 8113.0, 8114.0, 8116.0, 8118.0, 8122.0, 8124.0, 8124.0, 8126.0, 8126.0, 8126.0, 8126.0, 8126.0, 8126.0, 8126.5, 8127.5, 8128.5, 8129.0, 8129.0, 8129.0, 8129.0, 8129.0, 8129.0, 8130.0, 8131.0, 8133.0, 8133.0, 8136.0, 8136.0, 8136.0, 8136.0, 8136.0, 8136.0, 8136.0, 8136.0, 8136.0, 8136.0, 8136.0, 8136.0, 8136.0, 8136.0, 8136.0, 8136.0, 8137.0, 8137.0, 8137.0, 8137.0, 8137.0, 8137.0, 8137.0, 8137.0, 8137.0, 8137.0, 8137.0, 8137.0]"
8,"[60, 100, 0.2, 0.6]",8156.0,"[8156, 8191, 8152]","[8050, 8050, 8068, 8072, 8074, 8075, 8083, 8087, 8089, 8105, 8105, 8105, 8105, 8105, 8123, 8123, 8123, 8129, 8129, 8131, 8132, 8141, 8141, 8141, 8143, 8144, 8144, 8144, 8144, 8148, 8148, 8148, 8152, 8152, 8152, 8152, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156]","[7981.0, 8008.0, 8022.0, 8031.5, 8036.0, 8041.0, 8048.0, 8060.0, 8062.0, 8063.5, 8066.0, 8072.0, 8074.5, 8075.0, 8079.0, 8083.0, 8086.5, 8093.0, 8094.0, 8095.0, 8102.0, 8108.5, 8114.0, 8117.5, 8119.0, 8123.0, 8125.5, 8128.5, 8131.0, 8132.0, 8133.5, 8134.0, 8135.5, 8138.0, 8138.5, 8140.5, 8141.0, 8142.0, 8143.0, 8144.5, 8145.0, 8145.0, 8146.0, 8146.0, 8147.0, 8147.0, 8147.0, 8147.0, 8148.0, 8148.0, 8148.0, 8150.0, 8150.0, 8150.0, 8151.5, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8156.0, 8156.0, 8156.0, 8156.0, 8156.0, 8156.0, 8156.0, 8156.0, 8156.0, 8156.0, 8156.0, 8156.0, 8156.0, 8156.0, 8156.0, 8156.0, 8156.0, 8156.0, 8156.0, 8156.0]"
9,"[60, 100, 0.2, 0.3]",8157.0,"[8188, 8157, 8152]","[8045, 8061, 8063, 8063, 8086, 8087, 8087, 8091, 8091, 8091, 8091, 8106, 8106, 8109, 8109, 8109, 8109, 8115, 8126, 8126, 8126, 8126, 8126, 8126, 8126, 8126, 8126, 8130, 8130, 8130, 8132, 8139, 8139, 8139, 8139, 8139, 8139, 8139, 8139, 8142, 8146, 8146, 8147, 8147, 8147, 8147, 8152, 8153, 8153, 8153, 8153, 8153, 8153, 8153, 8153, 8154, 8154, 8154, 8154, 8154, 8154, 8154, 8154, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8156, 8157, 8157, 8157, 8157, 8157]","[7983.0, 8006.0, 8015.0, 8027.0, 8034.5, 8039.0, 8044.5, 8053.5, 8058.0, 8063.5, 8065.0, 8071.0, 8074.0, 8077.0, 8083.5, 8083.5, 8086.5, 8090.5, 8094.5, 8097.5, 8098.0, 8102.0, 8105.0, 8106.0, 8107.0, 8108.5, 8110.0, 8111.5, 8114.0, 8114.0, 8115.0, 8115.0, 8118.0, 8118.0, 8119.0, 8120.5, 8122.0, 8123.0, 8124.0, 8125.0, 8127.0, 8128.0, 8130.0, 8131.0, 8132.0, 8133.5, 8135.0, 8137.0, 8138.0, 8140.0, 8140.0, 8142.0, 8143.5, 8145.0, 8146.0, 8147.0, 8147.0, 8149.0, 8152.0, 8152.0, 8152.0, 8152.5, 8153.0, 8153.5, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8154.0, 8155.0, 8156.0, 8156.0, 8156.0, 8156.0, 8156.0, 8156.0, 8156.0, 8156.0, 8156.0, 8156.0, 8156.0, 8156.0]"
