,mc_de_rand_one,mc_de_best_two,mc_de_rand_onemc_de_best_two
0,1354,1349,1336
1,1350,1332,1361
2,1351,1328,1348
3,1335,1343,1345
4,1353,1326,1335
5,1347,1342,1339
6,1345,1347,1325
7,1354,1338,1353
8,1354,1329,1335
9,1340,1367,1339
10,1342,1339,1350
11,1352,1333,1339
12,1355,1334,1362
13,1358,1334,1351
14,1334,1343,1346
15,1327,1342,1340
16,1336,1329,1350
17,1343,1337,1362
18,1351,1337,1353
19,1334,1335,1364
